Order_ID,Warehouse,Destination_City,Distance_KM,Delivery_Time_Hours,Transportation_Cost,Inventory_Level,Demand,Delay
ORD000001,Chennai,Lucknow,110,12.31,3009.97,946,240,No
ORD000002,Kolkata,Nashik,521,20.52,9365.49,932,170,No
ORD000003,Delhi,Indore,1006,22.24,15616.56,1399,657,No
ORD000004,Bengaluru,Ahmedabad,1721,41.74,22781.23,394,11,Yes
ORD000005,Delhi,Bengaluru,81,12.47,2850.17,1336,96,No
ORD000006,Kolkata,Ranchi,1906,55.19,20045.41,680,284,No
ORD000007,Pune,Indore,1437,48.50,24423.46,1443,399,No
ORD000008,Ahmedabad,Surat,1024,35.39,12117.15,237,598,No
ORD000009,Ahmedabad,Kolkata,1303,34.43,22130.76,1369,115,No
ORD000010,Mumbai,Goa,1856,42.90,36033.23,1949,364,No
ORD000011,Ahmedabad,Pune,398,12.38,8123.12,1709,463,No
ORD000012,Hyderabad,Visakhapatnam,1307,41.69,19301.35,263,273,No
ORD000013,Bengaluru,Coimbatore,1297,25.01,23644.23,1896,510,No
ORD000014,Hyderabad,Indore,1463,39.06,18650.45,1474,156,Yes
ORD000015,Delhi,Hyderabad,260,14.38,4474.99,1528,760,No
ORD000016,Ahmedabad,Guwahati,1417,41.36,28080.55,466,560,No
ORD000017,Hyderabad,Indore,505,17.15,7844.32,674,643,No
ORD000018,Ahmedabad,Bengaluru,2066,51.58,44927.98,1512,67,Yes
ORD000019,Ahmedabad,Delhi,2196,52.84,31472.64,1151,59,No
ORD000020,Mumbai,Bhopal,107,8.45,2714.01,667,131,No
ORD000021,Pune,Indore,2115,45.18,43876.20,739,738,No
ORD000022,Hyderabad,Jaipur,357,15.50,6300.20,1365,734,No
ORD000023,Kolkata,Pune,608,19.81,12499.43,889,692,No
ORD000024,Pune,Raipur,1331,31.84,23360.87,890,317,Yes
ORD000025,Ahmedabad,Indore,1438,34.03,26469.03,799,612,Yes
ORD000026,Chennai,Kanpur,919,18.92,9952.34,1333,145,No
ORD000027,Pune,Varanasi,1113,27.92,24792.34,1312,300,No
ORD000028,Mumbai,Varanasi,657,17.41,8807.41,907,379,No
ORD000029,Pune,Nagpur,1499,36.08,23307.80,1651,405,No
ORD000030,Chennai,Mumbai,609,20.86,14950.89,225,341,No
ORD000031,Pune,Guwahati,81,12.00,1903.45,1023,258,No
ORD000032,Ahmedabad,Nagpur,451,16.77,6345.13,1333,455,No
ORD000033,Kolkata,Visakhapatnam,357,17.79,7064.66,505,573,No
ORD000034,Bengaluru,Agra,88,4.96,2828.59,181,725,No
ORD000035,Bengaluru,Surat,1132,26.22,23373.83,1800,437,Yes
ORD000036,Hyderabad,Coimbatore,1201,31.37,23954.30,1848,718,No
